date,XLB_rs63,XLC_rs63,XLE_rs63,XLF_rs63,XLI_rs63,XLK_rs63,XLP_rs63,XLRE_rs63,XLU_rs63,XLV_rs63,XLY_rs63,XLB_rs_line,XLC_rs_line,XLE_rs_line,XLF_rs_line,XLI_rs_line,XLK_rs_line,XLP_rs_line,XLRE_rs_line,XLU_rs_line,XLV_rs_line,XLY_rs_line
1998-12-22,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
1998-12-23,,,,,,,,,,,,0.9897435326965502,,0.9998482702339805,0.9938998689645946,0.9965483036366636,1.0028569799409237,1.00313549988274,,0.9753529998953602,1.0014670895118043,0.9836627515982461
1998-12-24,,,,,,,,,,,,1.0169063692484939,,0.9988928196525522,1.0047964735853696,1.0140684888412228,1.0033627860683532,1.005739766633073,,0.9976112355224057,1.011944800079887,1.0060270582666553
1998-12-28,,,,,,,,,,,,1.0106249421542977,,0.9961454065518482,0.9941427356927907,1.021952673736983,1.0088098610000231,1.002493008465032,,0.9949930201222531,0.9997545333287906,0.9995210645528392
1998-12-29,,,,,,,,,,,,1.0130816972557988,,0.9903995342080213,0.9890590255427428,1.0203594663423432,0.9959268767119752,1.0086210291470419,,0.9957593021630269,1.00598873652504,1.0053839727840734
1998-12-30,,,,,,,,,,,,1.018360583013297,,0.9833140321490383,0.993144882792737,1.0240361424020428,1.0001865323060943,1.010452111959699,,0.9956316764140223,1.0055940687379925,1.005131746260064
1998-12-31,,,,,,,,,,,,1.0301080530978604,,0.9819994642539676,0.9839606876278192,1.0325751723048022,0.9963684345664403,1.0029506992922155,,0.9920428886200925,1.0165912853812742,1.0039309268204974
1999-01-04,,,,,,,,,,,,1.0199522301303556,,0.9835854699238112,0.9862100856299558,1.0204523590488155,1.0101250282924559,0.997145825641144,,0.9783813416491431,1.0164655568349994,1.0002077561712956
1999-01-05,,,,,,,,,,,,1.0331637967571126,,0.9672591876529113,0.9841660374273835,1.0297486342019404,1.0242447943815438,0.9933112185142086,,0.9790097850117061,1.0207190838757085,1.005564530008926
1999-01-06,,,,,,,,,,,,1.026603254226893,,0.9756540278858585,0.9914648763155842,1.027117932421625,1.0296845027237038,0.9816539507960301,,0.9658844830022407,1.0132422085541972,1.0097800540359056
1999-01-07,,,,,,,,,,,,1.0238084175524362,,0.9759873713017487,1.0116591680266167,1.023237182838478,1.0315105434059806,0.9752685180904214,,0.96715453867039,1.013482780482202,1.0135891590813084
1999-01-08,,,,,,,,,,,,1.051023601607939,,0.9732677004471101,1.010567903575739,1.0233377766290894,1.0280869761518028,0.9642126255010898,,0.9655013538825076,1.0184303074264425,1.0073102586154243
1999-01-11,,,,,,,,,,,,1.063293768057388,,0.9640656357216357,1.0049589332469018,1.0235923217698526,1.0482213827070102,0.9538162966153572,,0.9488199855240449,1.0306216571121074,1.0117470812248854
1999-01-12,,,,,,,,,,,,1.0551259535189665,,0.9667618200298469,0.9947655133085757,1.0299996180024567,1.0385776873358865,0.9638840019470044,,0.96674929876811,1.0452996503264356,1.003507010014936
1999-01-13,,,,,,,,,,,,1.0391261851736897,,0.959164463642958,0.9887075200437017,1.01104336491043,1.0454666843822844,0.97244987290631,,0.9802672618919755,1.0429428011182622,1.0154247203312587
1999-01-14,,,,,,,,,,,,1.0396841949839146,,0.9575041551900505,0.980936675714828,1.0243498389527834,1.049500189390761,0.9709620350025673,,0.9810147822549834,1.0527941077430258,1.0102761459571692
1999-01-15,,,,,,,,,,,,1.0285868350508682,,0.9475422992042255,0.9833590010063233,1.0152873877990232,1.053145969950853,0.956620676616204,,0.9606939029580417,1.0400082092289507,0.9971394344111886
1999-01-19,,,,,,,,,,,,1.003108181980042,,0.9413932756323476,0.9718082149807604,1.0067575868943175,1.0825048877584926,0.9396124728857864,,0.9867794662395099,1.0627463403112782,0.9900774789004108
1999-01-20,,,,,,,,,,,,0.9915708187248494,,0.9262248352621638,0.9711583789499293,0.9942857963311296,1.0837185359758825,0.9349856517669723,,0.9749512029471356,1.0602950470447585,0.9986602631076242
1999-01-21,,,,,,,,,,,,1.0141394386138503,,0.9593541671002174,0.9798137306637338,1.012778968541552,1.0844757080987075,0.9459536592605169,,0.9978869309056553,1.0511328933199955,1.0161995287419583
1999-01-22,,,,,,,,,,,,0.9965209894591474,,0.9562651959773116,0.975462165583433,0.9952761125551052,1.067760333848392,0.9434793385993688,,1.0068823363904233,1.0492424697459428,1.0233644739392544
1999-01-25,,,,,,,,,,,,1.0062041238641615,,0.9453011543423164,0.9734537088051232,1.001582091866025,1.0755153041814733,0.9316551639470388,,0.9594419473518424,1.0471677183996333,1.0106404304031447
1999-01-26,,,,,,,,,,,,0.985372479239562,,0.9194283878013894,0.9567210057280716,0.9837061609252764,1.0987967576515902,0.9364775489407264,,0.9608738388030197,1.033258954617608,1.0160963888167225
